,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,target
0,0.0676,https://api.spotify.com/v1/audio-analysis/2Z8yfpFX0ZMavHkcIeHiO1,0.652,178994,0.383,2Z8yfpFX0ZMavHkcIeHiO1,0.0,2,0.0828,-7.076,0,0.0516,145.765,4,https://api.spotify.com/v1/tracks/2Z8yfpFX0ZMavHkcIeHiO1,audio_features,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,0.549,0
1,0.12,https://api.spotify.com/v1/audio-analysis/6zFMeegAMYQo0mt8rXtrli,0.81,154998,0.511,6zFMeegAMYQo0mt8rXtrli,0.0,5,0.0832,-6.924,0,0.164,151.947,4,https://api.spotify.com/v1/tracks/6zFMeegAMYQo0mt8rXtrli,audio_features,spotify:track:7igeByaBM0MgGsgXtNxDJ7,0.837,0
2,0.221,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,0.7,140526,0.722,3tjFYV6RSFtuktYl3ZtYcq,0.0,7,0.272,-3.558,0,0.0369,90.989,4,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,audio_features,spotify:track:54bFM56PmE4YLRnqpW6Tha,0.756,0
3,0.786,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,0.642,169266,0.374,45bE4HXI0AwGZXfZtMp8JR,0.0,4,0.0906,-9.386,1,0.0545,124.099,4,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,audio_features,spotify:track:463CkQjx2Zk1yXoBuierM9,0.0799,0
4,0.0689,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,0.632,167903,0.595,6ft4hAq6yde8jPZY2i5zLr,0.0,8,0.209,-7.644,0,0.0401,124.114,4,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,audio_features,spotify:track:47EiUVwUp4C9fGccaPuUCS,0.435,0
5,0.325,https://api.spotify.com/v1/audio-analysis/20McUFi8KCIVdNDLrkTDuZ,0.767,163208,0.659,20McUFi8KCIVdNDLrkTDuZ,0.0,1,0.13,-7.429,1,0.0444,124.946,4,https://api.spotify.com/v1/tracks/20McUFi8KCIVdNDLrkTDuZ,audio_features,spotify:track:6zFMeegAMYQo0mt8rXtrli,0.439,0
6,0.194,https://api.spotify.com/v1/audio-analysis/1RSzyxqtIO4yX3EyiV4zT5,0.714,123480,0.609,1RSzyxqtIO4yX3EyiV4zT5,0.0,3,0.126,-7.683,0,0.17,140.206,4,https://api.spotify.com/v1/tracks/1RSzyxqtIO4yX3EyiV4zT5,audio_features,spotify:track:7MXgrcOQAJ5VwSNUL0lDd3,0.778,0
7,0.00691,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,0.566,207481,0.716,249gnXrbfmV8NG6jTEMSwD,0.0,1,0.37,-5.733,1,0.0424,81.068,4,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,audio_features,spotify:track:5JqZ3oqF00jkT81foAFvqg,0.45,0
8,0.235,https://api.spotify.com/v1/audio-analysis/0AUvWawuP0ibk4SQ3sIZjk,0.834,146523,0.663,0AUvWawuP0ibk4SQ3sIZjk,0.0,8,0.372,-6.143,1,0.133,121.876,4,https://api.spotify.com/v1/tracks/0AUvWawuP0ibk4SQ3sIZjk,audio_features,spotify:track:1tkg4EHVoqnhR6iFEXb60y,0.774,0
9,0.247,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,0.746,181733,0.69,7ytR5pFWmSjzHJIeQkgog4,0.0,11,0.101,-7.956,1,0.164,89.977,4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,audio_features,spotify:track:6AGOKlMZWLCaEJGnaROtF9,0.497,0
